model,proportion,replica,MAE_mean,MAE_std,R2_mean,R2_std
gaussian_copula,0.25,0,0.7189933123805143,0.10603369020886634,0.8748907653879773,0.06013391411076353
gaussian_copula,0.25,1,0.522268922933975,0.10325815735401785,0.9430541468117912,0.019501098948340668
gaussian_copula,0.25,2,0.7214969058448645,0.11090882169728818,0.8921508676810829,0.032586769564501336
gaussian_copula,0.25,3,0.5743683271061538,0.09430794830435203,0.9181256094915161,0.02538429593126217
gaussian_copula,0.25,4,0.545410959576628,0.01987802829652945,0.9406818765758203,0.029147690229857255
gaussian_copula,0.5,0,0.5547442291101392,0.06610040537705208,0.935165199146633,0.028167090049643
gaussian_copula,0.5,1,0.566706072809591,0.08937008634334184,0.9257487688161625,0.01936456840494576
gaussian_copula,0.5,2,0.540798337859413,0.0738728157933855,0.9273681932509031,0.009218371101891172
gaussian_copula,0.5,3,0.6371399150957897,0.056510277327440725,0.9108798794718675,0.03617301484870396
gaussian_copula,0.5,4,0.6843444665622835,0.10839179911577114,0.8814198604219893,0.015137570997622689
gaussian_copula,1.0,0,0.6247867355659478,0.07771274061946419,0.911943822400838,0.01890890850910268
gaussian_copula,1.0,1,0.49711517234556146,0.06811196795168392,0.9427389744543161,0.011909457361785341
gaussian_copula,1.0,2,0.4812812858736944,0.08634463588562703,0.9485673399863457,0.013180820796553746
gaussian_copula,1.0,3,0.4778811891006038,0.06249262029662242,0.9479494435109134,0.02142114838202639
gaussian_copula,1.0,4,0.6066967832348384,0.0711283254395888,0.9105293507936818,0.020543008089554584
gaussian_copula,2.0,0,0.5335908951207028,0.07319372061863956,0.9307371981217258,0.012222286083856346
gaussian_copula,2.0,1,0.453975385044434,0.07226919138443193,0.9528755851988377,0.016022693241030922
gaussian_copula,2.0,2,0.5207146616946834,0.06528660464987575,0.9341636222052987,0.0130399390249558
gaussian_copula,2.0,3,0.5063798554081352,0.05278285681206161,0.9426472508449605,0.025347743595301377
gaussian_copula,2.0,4,0.5163048667200016,0.06632932051800519,0.937949037090615,0.01940153615751532
ctgan,0.25,2,2.1769056574987338,0.499258571336856,0.16934298002912213,0.043300101439705724
ctgan,0.5,0,2.1732076559676976,0.5743795186167977,0.264797657968211,0.06691575870988414
ctgan,0.5,1,1.4567889890073231,0.4066223713786606,0.6172909983855425,0.06604913166314821
ctgan,0.5,2,1.8152372620551465,0.47399363846110615,0.46618380878466664,0.07205006157321835
ctgan,0.5,3,1.156466515368469,0.20060818139334008,0.8070101104959055,0.04184888523553382
ctgan,0.5,4,1.7911595792405728,0.46573317476691134,0.37387106539050496,0.06529144372765461
ctgan,1.0,0,1.1061868320380719,0.2868577648952509,0.7881070910739263,0.05114235910249571
ctgan,1.0,1,1.3430922672690961,0.2820552636173566,0.7224196974411584,0.051466023961250246
ctgan,1.0,2,0.9336681263835451,0.0992343996877058,0.8627780575227273,0.03889940814745273
ctgan,1.0,3,1.5547004031270553,0.38595138857856087,0.5865011607329875,0.06249911859412622
ctgan,1.0,4,0.9891518730834404,0.2613999601963947,0.8165600739512661,0.04470621215330746
ctgan,2.0,0,1.179452253877917,0.29784076082696415,0.7351882726854931,0.05921452981928096
ctgan,2.0,1,1.4654493806523408,0.40779017768716425,0.5876561386971892,0.06413558057694622
ctgan,2.0,2,1.7761625783270343,0.46483120354518376,0.39781437577686596,0.06627799246830952
ctgan,2.0,3,1.8319962501138616,0.46490397091051694,0.44770248435693016,0.06428767390953621
ctgan,2.0,4,1.4557605900074522,0.40356642287756134,0.5983329335127349,0.06894296755119421
tvae,0.25,0,0.8709340466863622,0.20859595902061537,0.8211157941417098,0.05522577946249431
tvae,0.25,1,0.7666443099949938,0.19028345198477806,0.8638496786352136,0.04242727137410371
tvae,0.25,2,0.38537104572049097,0.08770650005592553,0.9682761279555819,0.017418147966907833
tvae,0.25,3,0.767213778749003,0.16490020427735527,0.8675541840538059,0.04521810817683873
tvae,0.25,4,0.544020203352847,0.10724459946683715,0.941741172951375,0.019566052981924313
tvae,0.5,0,0.6174524952623015,0.17607180825970342,0.9039615546620174,0.0334660799581241
tvae,0.5,1,0.38526845512211055,0.09250233521442308,0.9702692974798641,0.01922332545519331
tvae,0.5,2,0.5771456519143442,0.05331549677954404,0.9479509201112485,0.030267254405084907
tvae,0.5,3,0.45944046552701084,0.09550627385950466,0.9547306017387414,0.021588877691254345
tvae,0.5,4,0.42722244153059963,0.07825891578909443,0.9650962349800872,0.019204480967253575
tvae,1.0,0,0.4808686825923888,0.08258943255411873,0.9541555389014882,0.026096574004388605
tvae,1.0,1,0.729349819694918,0.17794003345165216,0.8740516323239147,0.03949866106208503
tvae,1.0,2,0.4547993755100972,0.10386398315377135,0.9543879026145066,0.02289596233128736
tvae,1.0,3,0.4377714512960179,0.09383882626740418,0.9594117007803845,0.022681498020250216
tvae,1.0,4,0.49071594395115603,0.10595075012781217,0.9495368710033356,0.02605097203245417
tvae,2.0,0,0.7224620754612777,0.17652078112180383,0.8728484728153838,0.042635346552199596
tvae,2.0,1,0.4749173007401389,0.12510084090042484,0.9466240797672633,0.024742699713743342
tvae,2.0,2,0.607935793372177,0.1088359278577662,0.9215723510217508,0.03455250837886766
tvae,2.0,3,0.526889869929044,0.08442922173155938,0.949993923255256,0.028690749311107745
tvae,2.0,4,0.4721802606023024,0.13768936521325656,0.9441005308893295,0.02487363720975565
